model,rmse,r2
XGB,19701.415177595747,0.9843030571937561
XGB+phys,19729.502781367806,0.984258234500885
PINN,38587.75266843095,0.9397829174995422
OLS+phys,39868.18416216346,0.9357203384673006
OLS,39868.18416216346,0.9357203384673006
MLP,48886.49384032363,0.9033507704734802
